"rank","lemma","translit","pos","gloss_en","combined_zipf","subs_fpm","forum_fpm","subs_zipf","forum_zipf","doc_dispersion_subs","doc_dispersion_forum","register_skew","is_proper","forms_collapsed"
"258","ნიშვნა","nishvna","verb","to appoint, to designate, to mark","5.659","440.87","472.35","5.644","5.674","0.6765","0.0976","0","0","ნიშნავს,ინიშნება,ნიშნავდა,ნიშნავდეს,ნიშნავენ,უნიშნავენ,ნიშნავსო,უნიშნავს"
"259","ქუჩა","kucha","noun","street","5.659","303.22","686.47","5.482","5.837","0.4706","0.0580","0","0","ქ,ქუჩაში,ქუჩა,ქუჩის,ქუჩაზე,ქუჩებში,ქუჩები,ქუჩების"
"260","ამბავი","ambavi","noun","story, news, event","5.659","429.71","484.26","5.633","5.685","0.6324","0.1158","0","0","ამბავი,ამბავია,ამბები,ამბავში,ამბავს,ამბებს,ამბების,ამბავზე"
"261","ძებნა","dzebna","verb","to search, to look for","5.656","519.00","395.71","5.715","5.597","0.6471","0.0989","0","0","ვეძებ,ძებნა,ეძებს,ვეძებდი,ეძებ,ვეძებე,ეძებენ,ვეძებთ"
"262","დაცვა","datsva","noun","to protect, to defend, to guard","5.654","533.88","379.95","5.727","5.580","0.5294","0.0395","0","0","დაცვა,დაცვის,დაცვას,დაცვით,დაცვაში,დაცვაზე,დაცვაა,დაცვისა"
"263","უფლება","upleba","noun","right, authority, permission","5.652","671.54","300.02","5.827","5.477","0.7647","0.0521","0","0","უფლება,უფლებას,უფლებები,უფლებების,უფლების,უფლებებს,უფლებაც,უფლებით"
"264","გაშვება","gashveba","verb","to release, to launch, to let go","5.651","425.99","471.61","5.629","5.674","0.6176","0.1016","0","0","უშვებს,გაშვებისას,გაუშვა,უშვებენ,გაშვება,გაუშვი,გაუშვეს,გავუშვი"
"265","ლამაზი","lamazi","adj","beautiful, pretty","5.648","727.35","271.97","5.862","5.435","0.7500","0.0524","0","0","ლამაზი,ლამაზია,ულამაზესი,ლამაზ,ლამაზები,ულამაზესია,ლამაზიც,ულამაზეს"
"266","ბოლოს","bolos","adv","finally","5.647","414.83","474.55","5.618","5.676","0.6471","0.1136","0","0","ბოლოს"
"267","განმავლობა","ganmavloba","noun","duration, course","5.646","597.13","327.52","5.776","5.515","0.6618","0.0674","0","0","განმავლობაში,განმავლობაშ,განმავლობაშიც,განმვალობაში,განმალობაში,განმავლობასი,განმვალობაშიც,განამვლობაში"
"268","ბრძოლა","brdzola","noun","fight, struggle, battle","5.641","727.35","263.17","5.862","5.420","0.3971","0.0307","0","0","ბრძოლა,ბრძოლის,ბრძოლაში,ბრძოლას,ბრძოლები,ბრძოლაა,ბრძოლიდან,ბრძოლებში"
"269","დაკარგვა","dak'argva","verb","to lose, to be lost","5.640","541.32","351.72","5.733","5.546","0.7647","0.0859","0","0","დაკარგა,კარგავს,დავკარგე,დაკარგვა,დაიკარგა,იკარგება,დაკარგვის,დაკარგავს"
"270","გადასვლა","gadasvla","verb","to move, to cross, to switch","5.639","373.90","507.54","5.573","5.705","0.5441","0.1079","0","0","გადადის,გადავიდა,გადასვლა,გადავედი,გადავა,გადავალ,გადადით,გადავიდეს"
"271","შეხედვა","shekhedva","verb","to look, to glance, to view","5.639","1084.51","174.62","6.035","5.242","0.7647","0.0425","0","0","შეხედე,შეხედეთ,შეხედავ,შევხედე,შევხედოთ,შეხედო,შევხედავ,შევხედავთ"
"272","რჩევა","rcheva","verb","to advise, to recommend","5.639","199.04","951.02","5.299","5.978","0.2500","0.1445","0","0","მირჩიეთ,გირჩევ,მირჩევთ,მირჩიოთ,გირჩევთ,გირჩევდი,მირჩიეს,მირჩევდით"
"273","მოკვლა","mok'vla","verb","to kill","5.636","1073.35","173.89","6.031","5.240","0.6765","0.0381","0","0","მოკლა,მოკლეს,მოკვლა,მოიკლა,მოკალი,მოვკალი,მოკვლას,მოკლავს"
"274","დილა","dila","noun","morning","5.633","667.82","276.55","5.825","5.442","0.6471","0.0596","0","0","დილით,დილის,დილას,დილა,დილიდან,დილამდე,დილაა,დილასაც"
"275","დაჭერა","dach'era","verb","to catch, to arrest, to hold","5.631","537.60","339.62","5.730","5.531","0.5882","0.0705","0","0","იჭერს,დაჭერა,უჭირავს,დააჭირეთ,დააჭირე,დაიჭირეს,დაიჭირა,ვაჭერ"
"276","მოგება","mogeba","verb","to win, to gain, to profit","5.629","191.60","947.53","5.282","5.977","0.4265","0.0849","0","0","მოგება,მოიგო,მოიგებს,მოვიგე,იგებს,უგებს,მოიგოს,მოუგო"
"277","ერთმანეთი","ert'maneti","pron","each other, one another","5.628","411.11","439.35","5.614","5.643","0.5735","0.0951","0","0","ერთმანეთს,ერთმანეთის,ერთმანეთთან,ერთმანეთში,ერთმანეთი,ერთმანეთისგან,ერთმანეთზე,ერთმანეთისაგან"
"278","მალე","male","adv","soon, quickly","5.628","492.96","365.65","5.693","5.563","0.7647","0.0921","0","0","მალე,მალ,მალეო,მალეც"
"279","საკმაოდ","sak'maod","adv","quite, fairly, enough","5.627","329.26","544.58","5.518","5.736","0.5147","0.1169","0","0","საკმაოდ,საკამოდ,საკმაოდაა,საკმადო,საკმაოთ,სამაოდ,საკამაოდ,საკმოად"
"280","რაიმე","raime","pron","anything, something","5.621","362.74","482.06","5.560","5.683","0.6176","0.1071","0","0","რაიმე,რაიმეს,რაიმეზე,რაიმეთი,რაიმეში,რაიმის,რაიმესი"
"281","ორივე","orive","pron","both","5.615","385.07","441.91","5.586","5.645","0.5882","0.1021","0","0","ორივე,ორივეს,ორივემ,ორივეზე,ორივენი,ორივეში,ორივესი,ორივესთვის"
"282","მსოფლიო","msoplio","noun","world","5.615","359.02","473.63","5.555","5.675","0.5294","0.0846","0","0","მსოფლიო,მსოფლიოში,მსოფლიოს,მსოფლიოზე,მსოფლიომ,მსოფლიოდან,მსოფლიოსთვის,მსოფლიოშიც"
"283","ნებისმიერი","nebismieri","pron","any, arbitrary","5.615","340.42","498.93","5.532","5.698","0.6471","0.1081","0","0","ნებისმიერი,ნებისმიერ,ნებისმიერს,ნებისმიერმა,ნებისმიერის,ნებისმიერთან,ნებისმერ,ნებისმიერზე"
"284","ოჯახი","ojakhi","noun","family","5.613","481.80","348.78","5.683","5.543","0.5294","0.0613","0","0","ოჯახის,ოჯახი,ოჯახში,ოჯახს,ოჯახები,ოჯახმა,ოჯახებში,ოჯახთან"
"285","ბოდიში","bodishi","interj","apology, excuse","5.613","1144.04","146.75","6.058","5.167","0.6765","0.0366","0","0","ბოდიში,ბოდიშით,ბოდიშიც,ბოდიშიო,ბოდიშ,ბოდიშს,ბოდიშის,ბოდიშები"
"286","სამყარო","samq'aro","noun","world, universe","5.610","478.08","347.50","5.679","5.541","0.5882","0.0472","0","0","სამყაროს,სამყაროში,სამყარო,სამყაროზე,სამყაროა,სამყაროდან,სამყარომ,სამყაროსთან"
"287","თვითონ","tviton","pron","oneself, himself, herself, itself","5.608","310.66","530.09","5.492","5.724","0.5441","0.1257","0","0","თვითონ,თვითონაც,თითონ,თვიტონ,თვითონაა,თითონაც,ტვიტონ,თვითნ"
"288","მიწევს","mitsevs","verb","to have to, to be obliged","5.608","385.07","427.61","5.586","5.631","0.5441","0.1027","0","0","მოგიწევს,მიწევს,მომიწევს,მომიწია,უწევს,გიწევს,მოუწევს,მოგიწევთ"
"289","შეცდომა","shets'doma","verb","mistake, error, fault","5.608","433.43","379.40","5.637","5.579","0.4559","0.0563","0","0","ვცდები,ცდები,ცდება,ცდებით,შევცდი,ვცდებოდე,შეცდა,ვცდებოდი"
"290","დარეკვა","darek'va","verb","to call, to ring","5.607","597.13","274.17","5.776","5.438","0.6029","0.0564","0","0","დავრეკე,დარეკე,დარეკეთ,დავურეკე,დაურეკე,დარეკვა,რეკავს,ვრეკავ"
"291","შექმნა","shekmna","verb","to create, to establish","5.607","295.78","552.46","5.471","5.742","0.4706","0.0963","0","0","შექმნა,შეიქმნა,შექმნას,შეიქმნას,შექმნეს,შესაქმნელად,შევქმნათ,შევქმენი"
"292","ჩვენება","chveneba","verb","showing, testimony, display","5.605","507.84","319.82","5.706","5.505","0.7206","0.0707","0","0","აჩვენებს,აჩვენა,მიჩვენებს,აჩვენებენ,აჩვენეს,გვიჩვენებს,მაჩვენე,აჩვენებდა"
"293","მოკლედ","mok'led","adv","briefly","5.604","150.68","1070.91","5.178","6.030","0.3676","0.2280","0","0","მოკლედ,მოკლეთ,მოკელდ,მიკლედ,მოკლდე,მოკლეედ,მოკედ"
"294","სიმღერა","simghera","noun","song, singing","5.603","422.27","381.23","5.626","5.581","0.3971","0.0360","0","0","სიმღერა,სიმღერები,სიმღერას,სიმღერის,სიმღერაა,სიმღერებს,სიმღერით,სიმღერების"
"295","მიხვედრა","mikhvedra","verb","to realize, to understand, realization","5.601","373.90","426.70","5.573","5.630","0.5441","0.1063","0","0","მივხვდი,მიხვდები,მიხვდება,მიხვდი,მიხვდა,მიხვდებით,მიხვდით,მიხვდე"
"296","ჯობნა","jobna","verb","to excel, to surpass, to be better","5.600","173.00","914.72","5.238","5.961","0.3382","0.1841","0","0","ჯობია,სჯობს,ჯობს,ჯობდა,აჯობებს,სჯობია,აჯობა,აჯობებდა"
"297","ხვალ","khval","adv","tomorrow","5.597","641.78","243.74","5.807","5.387","0.6618","0.0597","0","0","ხვალ,ხვალე,ხვალიდან,ხვალამდე,ხვალისთვის,ხვალვე,ხვალაც,ხვალის"
"298","ხვედრა","khvedra","verb","to fall to one's lot, to be destined","5.597","422.27","370.23","5.626","5.568","0.4706","0.0913","0","0","ვხვდები,ხვდება,ხვდები,გვხვდება,ხვდებიან,მხვდება,ხვდებით,ვხვდებით"
"299","მეშინია","meshinia","verb","to be afraid, to fear","5.595","727.35","213.12","5.862","5.329","0.7500","0.0440","0","0","მეშინია,გეშინია,ეშინია,შემეშინდა,მეშინოდა,ეშინიათ,გეშინიათ,გვეშინია"
"300","გაჩერება","gachereba","verb","to stop, to halt, to park","5.594","771.99","199.55","5.888","5.300","0.6324","0.0415","0","0","გაჩერება,გაჩერდი,ჩერდება,გაჩერდება,გაჩერდა,გააჩერა,აჩერებს,გააჩერე"
"301","ტელეფონი","t'eleponi","noun","telephone, phone","5.593","399.95","384.35","5.602","5.585","0.4412","0.0613","0","0","ტელეფონი,ტელეფონის,ტელ,ტელეფონზე,ტელეფონს,ტელეფონით,ტელეფონში,ტელეფონები"
"302","დგომა","dgoma","verb","to stand","5.593","366.46","418.45","5.564","5.622","0.6324","0.0918","0","0","დგას,იდგა,დგება,დგანან,დგომა,ვდგავარ,დგახარ,უდგას"
"303","რაღაცა","raghatsa","pron","something, anything","5.593","258.57","592.24","5.413","5.772","0.4559","0.1404","0","0","რაღაცა,რაღაცას,რაღაცეები,რაღაცები,რაღაცაა,რაღაცეების,რაღაცაზე,რაღაცაში"
"304","დაყენება","daq'eneba","verb","to set, to install, to place","5.589","254.85","590.23","5.406","5.771","0.5000","0.0979","0","0","დავაყენე,დაყენება,დააყენე,დავაყენო,დააყენო,ვაყენებ,აყენებს,დააყენებ"
"305","მიზეზი","mizezi","noun","reason, cause","5.584","344.14","428.71","5.537","5.632","0.5294","0.0828","0","0","მიზეზი,მიზეზის,მიზეზით,მიზეზების,მიზეზები,მიზეზია,მიზეზს,მიზეზად"
"306","დონე","done","noun","level","5.583","254.85","575.01","5.406","5.760","0.1765","0.1134","0","0","დონეზე,დონის,დონე,დონეს,დონეა,დონემდე,დონეზეა,დონეზეც"
"307","დანახვა","danakhva","verb","to see, to perceive","5.582","619.45","235.85","5.792","5.373","0.7206","0.0548","0","0","დავინახე,დანახვა,დაინახა,დაინახავ,დაინახავს,დაინახე,დაინახო,დანახვაზე"
"308","წესი","ts'esi","noun","rule, custom, order","5.576","225.09","629.83","5.352","5.799","0.5000","0.1313","0","0","წესით,წესი,წესები,წესებს,წესების,წესია,წესის,წესებით"
"309","სამსახური","samsakhuri","noun","service, job, employment","5.568","411.11","332.28","5.614","5.522","0.5588","0.0651","0","0","სამსახურში,სამსახური,სამსახურის,სამსახურს,სამსახურიდან,სამსახურები,სამსახურებში,სამსახურმა"
"310","მქვია","mqvia","verb","to be named, to be called","5.567","310.66","438.80","5.492","5.642","0.4412","0.1068","0","0","ქვია,ჰქვია,ერქვა,მქვია,ერქვას,გქვია,ერქმევა,ქვიათ"
"311","გარდა","garda","other","except, besides, apart from","5.566","239.97","563.83","5.380","5.751","0.4853","0.1287","0","0","გარდა,გარდაც"
"312","აღმოჩენა","aghmochena","verb","to discover, to find out","5.565","385.07","350.80","5.586","5.545","0.6029","0.0713","0","0","აღმოჩნდა,აღმოვაჩინე,აღმოჩნდეს,აღმოაჩინეს,აღმოჩნდება,აღმოაჩინა,აღმოაჩნდა,აღმოვჩნდი"
"313","გუნდი","gundi","noun","team, group","5.564","206.48","650.72","5.315","5.813","0.2500","0.0526","0","0","გუნდი,გუნდის,გუნდს,გუნდში,გუნდები,გუნდია,გუნდმა,გუნდების"
"314","საინტერესო","saint'ereso","adj","interesting","5.564","191.60","701.14","5.282","5.846","0.4118","0.1412","0","0","საინტერესო,საინტერესოა,საინტერესოს,საინტერსო,საიტერესო,საინტერსოა,საინტერესოც,საინტერესოები"
"315","ენა","ena","noun","tongue, language","5.563","258.57","516.53","5.413","5.713","0.4559","0.0757","0","0","ენა,ენაზე,ენის,ენას,ენით,ენების,ენაში,ენები"
"316","როგორი","rogori","pron","what kind of, what sort of, how","5.558","396.23","328.98","5.598","5.517","0.5000","0.0681","0","0","როგორი,როგორსაც,როგორები,როგორს,როგორშიც,როგორზეც,როგორითაც,როგორია"
"317","ყურადღება","q'uradagheba","noun","attention, care","5.556","463.20","279.30","5.666","5.446","0.6324","0.0674","0","0","ყურადღება,ყურადღებას,ყურადღების,ყურადღებით,ყურადღებისთვის,ყურადრება,ყურადღებისათვის,ყურადღებაც"
"318","დავიწყება","davits'q'eba","verb","to forget","5.555","593.41","216.79","5.773","5.336","0.6471","0.0580","0","0","დამავიწყდა,დაივიწყე,დაგავიწყდეთ,დაგავიწყდეს,დაგვავიწყდეს,დაავიწყდა,დაგავიწყდა,დაივიწყო"
"319","ლარი","lari","noun","Lari (Georgian currency)","5.548","87.43","1429.32","4.942","6.155","0.0735","0.1498","0","0","ლარი,ლარად,ლარს,ლარის,ლარამდე,ლარზე,ლარში,ლარით"
"320","წიგნი","ts'igni","noun","book","5.547","306.94","403.78","5.487","5.606","0.4118","0.0520","0","0","წიგნი,წიგნის,წიგნები,წიგნს,წიგნში,წიგნების,წიგნებს,წიგნია"
"321","სკოლა","sk'ola","noun","school","5.544","314.38","390.40","5.497","5.592","0.3382","0.0517","0","0","სკოლაში,სკოლის,სკოლა,სკოლებში,სკოლას,სკოლები,სკოლიდან,სკოლების"
"322","სმა","sma","verb","to drink, drinking","5.544","355.30","344.02","5.551","5.537","0.5588","0.0581","0","0","ვსვამ,ვსვავ,სვამს,სმა,სვამ,ვსვამდი,სვამენ,ვსვავდი"
"323","მსგავსი","msgavsi","adj","similar, alike","5.540","195.32","615.71","5.291","5.789","0.4118","0.1440","0","0","მსგავსი,მსგავს,მსგავსია,მსგავსს,მზგავსი,მსგავსები,მსგავსის,მსგავი"
"324","ძლიერი","dzlieri","adj","strong, powerful","5.540","303.22","396.45","5.482","5.598","0.5735","0.0806","0","0","ძლიერი,ძლიერ,უძლიერესი,ძლიერია,უძლიერესია,ძლიერები,ძლიერს,ძლიერმა"
"325","რიგი","rigi","noun","row, line, order, turn","5.538","370.18","321.83","5.568","5.508","0.5294","0.0752","0","0","რიგში,რიგი,რიგით,რიგზეა,რიგ,რიგის,რიგებში,რიგზე"
"326","საკმარისი","sak'marisi","adj","enough, sufficient","5.537","604.57","196.44","5.781","5.293","0.7206","0.0500","0","0","საკმარისი,საკმარისია,საკმარისზე,საკმარის"
"327","წაკითხვა","ts'ak'itkhva","verb","to read","5.536","266.01","444.48","5.425","5.648","0.5147","0.1004","0","0","წავიკითხე,წაიკითხე,წაკითხვა,წამიკითხავს,წაიკითხეთ,წაიკითხო,წაიკითხავს,წაიკითხავ"
"328","ტიპი","t'ip'i","noun","type, kind","5.536","187.88","628.91","5.274","5.799","0.3088","0.1213","0","0","ტიპი,ტიპის,ტიპები,ტიპს,ტიპმა,ტიპია,ტიპებს,ტიპებმა"
"329","მაგალითად","magalitad","adv","for example, for instance","5.536","150.68","783.27","5.178","5.894","0.4118","0.1512","0","0","მაგალითად,მაგალიტად,მაგალითან,მაგალითდ,მაგალთად,მგალითად,მაგლითად,მაგალითათ"
"330","გადახდა","gadakhda","verb","payment","5.532","329.26","351.72","5.518","5.546","0.4706","0.0620","0","0","გადახდა,გადავიხადე,გადავიხდი,გადაიხადო,გადაიხდი,გადაიხდის,გადავიხადო,გადაიხადოს"
"331","მსურს","msurs","verb","to want, to wish","5.531","842.68","136.67","5.926","5.136","0.7353","0.0359","0","0","სურს,გსურთ,მსურს,გსურს,სურთ,სურდა,გვსურს,სურდათ"
"332","მჯერა","mjera","verb","to believe","5.529","582.25","196.25","5.765","5.293","0.7059","0.0462","0","0","მჯერა,გჯერა,გჯერათ,სჯერა,მჯეროდა,ჯერა,გვჯერა,სჯერათ"
"333","სწორედ","sts'ored","adv","exactly","5.523","318.10","348.97","5.503","5.543","0.4412","0.0687","0","0","სწორედ,სწორედაც,სწორეთ"
"334","იდეა","idea","noun","idea","5.521","329.26","334.85","5.518","5.525","0.5735","0.0673","0","0","იდეა,იდეაში,იდეაა,იდეები,იდეას,იდეის,იდეების,იდეებს"
"335","ძალა","dzala","noun","force, power, strength","5.516","359.02","299.83","5.555","5.477","0.5735","0.0630","0","0","ძალა,ძალით,ძალას,ძალის,ძალები,ძალების,ძალებით,ძალებს"
"336","საყვარელი","saq'vareli","adj","beloved, favorite, lovely","5.516","563.65","190.75","5.751","5.280","0.6765","0.0471","0","0","საყვარელი,საყვარელ,უსაყვარლესი,საყვარელო,საყვარელია,საყვარლები,საყვარელმა,უსაყვარლესია"
"337","მნიშვნელოვანი","mnishvnelovani","adj","important, significant","5.516","347.86","309.00","5.541","5.490","0.5588","0.0606","0","0","მნიშვნელოვანი,მნიშვნელოვანია,მნიშვნელოვან,უმნიშვნელოვანესი,უმნიშვლოვანესი,უმნიშვნელოვანესია,უმნიშვნელოვანეს,მნიშვნელოვანს"
"338","დაჯდომა","dajdoma","verb","to sit down, to land","5.514","388.79","274.90","5.590","5.439","0.5294","0.0633","0","0","დაჯდება,დაჯდა,დაჯდეს,დაჯექი,დამიჯდა,დაგიჯდება,დამიჯდება,დავჯექი"
"339","გადაწყვეტა","gadats'q'vet'a","verb","to decide, to solve, to resolve","5.514","459.48","232.19","5.662","5.366","0.6324","0.0627","0","0","გადავწყვიტე,გადაწყვიტა,გადაწყვიტეს,გადაწყვეტს,გადაწყვიტე,გადავწყვიტეთ,გადაწყდა,გადაწყვიტოს"
"340","სისტემა","sist'ema","noun","system","5.513","180.44","589.31","5.256","5.770","0.2353","0.0858","0","0","სისტემა,სისტემის,სისტემას,სისტემაში,სისტემაზე,სისტემები,სისტემაა,სისტემით"
"341","არასდროს","arasdros","adv","never","5.509","489.24","212.57","5.690","5.328","0.5882","0.0565","0","0","არასდროს,არასდოს,არასდროსაა"
"342","არჩევა","archeva","verb","to choose, to elect, to select","5.509","325.54","319.45","5.513","5.504","0.5588","0.0717","0","0","არჩევა,აირჩიე,ირჩევს,აირჩიო,ვარჩევ,ირჩევ,ავირჩიე,აირჩიეთ"
"343","ღირს","ghirs","verb","to cost, to be worth","5.508","173.00","598.66","5.238","5.777","0.4118","0.1155","0","0","ღირს,ღირდა,ეღირება,ღირდეს,ღიირს,ღირსო,არღირს"
"344","ნომერი","nomeri","noun","number, room","5.507","258.57","399.20","5.413","5.601","0.4265","0.0668","0","0","ნომერი,ნომერს,ნომერზე,ნომრები,ნომრის,ნომერ,ნომერში,ნომრით"
"345","სიყვარული","siq'varuli","noun","love","5.506","712.47","144.37","5.853","5.159","0.5735","0.0284","0","0","სიყვარული,სიყვარულის,სიყვარულით,სიყვარულს,სიყვარულია,სიყვარულზე,სიყვარულში,სიყვარულმა"
"346","რთული","rt'uli","adj","difficult, complex, hard","5.504","329.26","309.18","5.518","5.490","0.5441","0.0707","0","0","რთული,რთულია,რთულ,ურთულესი,ურთულეს,რთ,ურთულესია,რთულიც"
"347","მომავალი","momavali","noun","future, next","5.502","332.98","303.32","5.522","5.482","0.4118","0.0449","0","0","მომავალში,მომავლის,მომავალზე,მომავალშიც,მომავალს,მომავლისთვის,მომავალმა,მომავლიდან"
"348","თითქოს","titqos","particle","as if, as though","5.502","377.63","267.38","5.577","5.427","0.5000","0.0597","0","0","თითქოს,თიტქოს,თითქის"
"349","სწორი","sts'ori","adj","correct, right, straight","5.501","303.22","331.18","5.482","5.520","0.5441","0.0719","0","0","სწორი,სწორია,სწორ,სწორს,სწორზე,სწორე,სწორეა,სწორიც"
"350","როდის","rodis","adv","when","5.501","340.42","294.88","5.532","5.470","0.6029","0.0781","0","0","როდის,როდისაა"
"351","მილოცვა","milotsva","verb","to congratulate, to wish","5.500","295.78","337.42","5.471","5.528","0.3971","0.0503","0","0","გილოცავთ,გილოცავ,ვულოცავ,მომილოცავს,მივულოცოთ,მომილოცეთ,მილოცვა,მოგილოცავ"
"352","ტარება","t'areba","verb","to carry, to wear, to conduct","5.499","377.63","263.90","5.577","5.421","0.4706","0.0606","0","0","ტარდება,ატარებს,ტარება,ატარებენ,ვატარებ,ატარებდა,ტარების,ატარებ"
"353","იანი","iani","adj","-s (decade suffix), one (suffix)","5.498","239.97","413.50","5.380","5.616","0.1029","0.0616","0","0","იანი,იან,იანზე,იანებში,იანების,იანს,იანები,იანია"
"354","სიცოცხლე","sitsotskhle","noun","life","5.498","452.03","218.80","5.655","5.340","0.5735","0.0364","0","0","სიცოცხლე,სიცოცხლის,სიცოცხლეს,სიცოცხლისთვის,სიცოცხლეში,სიცოცხლით,სიცოცხლეა,სიცოცხლეზე"
"355","ახალგაზრდა","akhalgazrda","adj","young","5.494","548.77","177.19","5.739","5.248","0.6324","0.0318","0","0","ახალგაზრდა,ახალგაზრდაა,ახალგაზრდავ,რდა,ახლაგაზრდა,ახალგაზრდები,ახალგაზრდებს,ახალგაზრდას"
"356","ომი","omi","noun","war","5.494","541.32","179.57","5.733","5.254","0.4118","0.0304","0","0","ომი,ომის,ომში,ომს,ომები,ომამდე,ომია,ომზე"
"357","გარკვევა","gark'veva","verb","to clarify, to ascertain, to find out","5.491","273.45","350.98","5.437","5.545","0.5147","0.0863","0","0","ვერკვევი,გავარკვიე,ერკვევით,ერკვევა,გაირკვა,ერკვევი,გავერკვიე,გაარკვიე"
"358","თითქმის","titkmis","adv","almost, nearly","5.490","262.29","364.92","5.419","5.562","0.4265","0.0923","0","0","თითქმის,თიტქმის,თითმის,ტითქმის"
"359","აქედან","akedan","adv","from here, hence","5.490","440.87","216.97","5.644","5.336","0.6029","0.0611","0","0","აქედან,აქიდან,აქედანაც,აქედანო,აქდან"
"360","დალევა","daleva","verb","to drink, to finish drinking","5.489","340.42","278.93","5.532","5.446","0.5735","0.0456","0","0","დალევა,დავლიე,დალიე,დალიო,დავლიო,დალიეთ,დამილევია,დალევ"
"361","გავლა","gavla","verb","to pass, to go through, to traverse","5.487","280.89","334.67","5.449","5.525","0.5294","0.0674","0","0","გაივლის,გავიარე,გაიარა,გაიარე,გამიარა,გაივლი,გაიარო,გავლის"
"362","ჩამოსვლა","chamosvla","verb","to arrive, to come down","5.486","414.83","226.32","5.618","5.355","0.7059","0.0525","0","0","ჩამოვიდა,ჩამოდის,ჩამოვა,ჩამოვედი,ჩამოვალ,ჩამოსვლა,ჩამოვიდეს,ჩამოდი"
"363","ჯგუფი","jgupi","noun","group","5.486","165.56","565.66","5.219","5.753","0.3088","0.0678","0","0","ჯგუფი,ჯგუფის,ჯგუფში,ჯგუფია,ჯგუფს,ჯგუფები,ჯგუფმა,ჯგუფებში"
"364","მიუხედავად","miukhedavad","adv","despite, regardless of","5.485","396.23","236.04","5.598","5.373","0.5294","0.0589","0","0","მიუხედავად,მიუხედავათ,მოუხედავად,მიუხედავდ,მიხედავად"
"365","ინფორმაცია","inpormatsia","noun","information","5.485","150.68","618.46","5.178","5.791","0.3235","0.1172","0","0","ინფორმაცია,ინფორმაციას,ინფორმაციის,ინფორმაციისთვის,ინფორმაციით,ინფორმაციაა,ინფორმაციები,ინფორმაციისათვის"
"366","ჯანდაბა","jandaba","interj","hell, damn","5.484","1255.65","73.97","6.099","4.869","0.5147","0.0176","0","0","ჯანდაბა,ჯანდაბას,ჯანდაბაა,ჯანდაბად,ჯანდაბაში,ჯანდაბაზე,ჯანდაბაშია"
"367","პირი","p'iri","noun","person, face, mouth","5.481","284.61","322.02","5.454","5.508","0.5588","0.0636","0","0","პირი,პირის,პირში,პირს,პირები,პირას,პირებს,პირზე"
"368","თორემ","torem","conj","otherwise, or else","5.478","132.08","685.74","5.121","5.836","0.2941","0.1586","0","0","თორე,თორემ,რე,ტორე,თო,თვარა,ტორემ,თირე"
"369","მანდ","mand","adv","there (near you)","5.478","120.91","748.62","5.082","5.874","0.1912","0.1487","0","0","მანდ,მანდაც,მანდაა,მად,მანდა,მანდო"
"370","კარი","k'ari","noun","door, gate","5.476","515.28","174.07","5.712","5.241","0.5588","0.0324","0","0","კარი,კარის,კარში,კარები,კარს,კარებს,კართან,კარების"
"371","დაახლოებით","daakhloebit","adv","approximately, about","5.475","199.04","448.51","5.299","5.652","0.3971","0.1037","0","0","დაახლოებით,დაახლოვებით,დაახლ,დაახ,დაახლოებიტ,დახლოებით,დააახლოებით,დაახლობით"
"372","სამუშაო","samushao","noun","work, job","5.475","355.30","251.07","5.551","5.400","0.4853","0.0489","0","0","სამუშაო,სამუშაოს,სამუშაოები,სამუშაოდ,სამუშაოების,სამუშაოზე,სამუშაოებს,სამუშაოა"
"373","ერთადერთი","ertaderti","adj","only, sole, unique","5.473","385.07","229.80","5.586","5.361","0.6176","0.0628","0","0","ერთადერთი,ერთადერთ,ერთადერთია,ერტადერთი,ერთად-ერთი,ერთადერთს,ერთადერთმა,ერთდერთი"
"374","ფასი","pasi","noun","price, cost, value","5.473","102.31","861.55","5.010","5.935","0.2941","0.1178","0","0","ფასი,ფასები,ფასად,ფასში,ფასს,ფასის,ფასებს,ფასიც"
"375","დარწმუნებული","darts'munebuli","adj","convinced, sure, confident","5.471","585.97","149.32","5.768","5.174","0.7647","0.0427","0","0","დარწმუნებული,დარწმუნებულია,დარწმუნებულები,დარმწუნებული,დარწმუნებულიც,დარწმუნებულივარ"
"376","მოთხოვნა","motkhovna","verb","demand, request, requirement","5.469","243.69","356.12","5.387","5.552","0.3676","0.0513","0","0","მოითხოვს,მოვითხოვ,მომთხოვა,მოითხოვა,მოგთხოვს,მოითხოვოს,მოითხოვენ,მოეთხოვება"
"377","ნამდვილი","namdvili","adj","real, true, genuine","5.468","388.79","222.10","5.590","5.347","0.5294","0.0503","0","0","ნამდვილი,ნამდვილ,ნამდვილია,ნამდვილმა,ნამდვილს"
"378","მოტანა","mot'ana","verb","to bring, to fetch","5.467","433.43","198.64","5.637","5.298","0.7059","0.0518","0","0","მოაქვს,მოიტანა,მოიტანე,მოაქვთ,მოიტანს,მოუტანა,მოუტანს,მოაქ"
"379","მაღაზია","maghazia","noun","shop, store","5.466","366.46","233.84","5.564","5.369","0.3529","0.0441","0","0","მაღაზიაში,მაღაზია,მაღაზიებში,მაღაზიის,მაღაზიები,მაღაზიას,მაღაზიაა,მაღაზიების"
"380","შანსი","shansi","noun","chance, opportunity","5.464","292.05","290.67","5.465","5.463","0.4559","0.0694","0","0","შანსი,შანსია,შანსები,შანსს,შანსიც,შანს,შანსებს,შანსის"
